Thread   Start(us)  B/E     Dur(us)  Name/Detail
   259   276409348  END       45696  CheckLifetimes
   259   817466329  BEG        2186  AnnotateKernels
   259   817468516  END        2186  AnnotateKernels
   259   817468517  BEG         459  VerifyKernels
   259   817468976  END         459  VerifyKernels
   259   817468977  BEG        3833  LowerSemanticCF
   259   817472810  END        3833  LowerSemanticCF
   259   817472811  BEG       43475  CheckLifetimes
   259   817474322  BEG          10  (A) SymbolTableAnalysis
   259   817474332  END          10  (A) SymbolTableAnalysis
   259   817516286  END       43475  CheckLifetimes
   259   820246320  BEG        2155  AnnotateKernels
   259   820248475  END        2155  AnnotateKernels
   259   820248476  BEG         444  VerifyKernels
   259   820248920  END         444  VerifyKernels
   259   820248921  BEG        3901  LowerSemanticCF
   259   820252822  END        3901  LowerSemanticCF
   259   820252824  BEG       44415  CheckLifetimes
   259   820254367  BEG          11  (A) SymbolTableAnalysis
   259   820254378  END          11  (A) SymbolTableAnalysis
   259   820297239  END       44415  CheckLifetimes
   259   830126313  BEG        2208  AnnotateKernels
   259   830128521  END        2208  AnnotateKernels
   259   830128523  BEG         420  VerifyKernels
   259   830128944  END         420  VerifyKernels
   259   830128944  BEG        3787  LowerSemanticCF
   259   830132732  END        3787  LowerSemanticCF
   259   830132733  BEG       44633  CheckLifetimes
   259   830134226  BEG          10  (A) SymbolTableAnalysis
   259   830134236  END          10  (A) SymbolTableAnalysis
   259   830177366  END       44633  CheckLifetimes
   259  1291465984  BEG        2361  AnnotateKernels
   259  1291468346  END        2361  AnnotateKernels
   259  1291468346  BEG         489  VerifyKernels
   259  1291468835  END         489  VerifyKernels
   259  1291468836  BEG        4343  LowerSemanticCF
   259  1291473179  END        4343  LowerSemanticCF
   259  1291473181  BEG       55479  CheckLifetimes
   259  1291474796  BEG          11  (A) SymbolTableAnalysis
   259  1291474808  END          11  (A) SymbolTableAnalysis
   259  1291528660  END       55479  CheckLifetimes
   259  1327898808  BEG        1888  AnnotateKernels
   259  1327900696  END        1888  AnnotateKernels
   259  1327900697  BEG         385  VerifyKernels
   259  1327901082  END         385  VerifyKernels
   259  1327901082  BEG        3411  LowerSemanticCF
   259  1327904493  END        3411  LowerSemanticCF
   259  1327904495  BEG       41428  CheckLifetimes
   259  1327905918  BEG          11  (A) SymbolTableAnalysis
   259  1327905929  END          11  (A) SymbolTableAnalysis
   259  1327945923  END       41428  CheckLifetimes
   259  1358002802  BEG        2426  AnnotateKernels
   259  1358005229  END        2426  AnnotateKernels
   259  1358005230  BEG         493  VerifyKernels
   259  1358005724  END         493  VerifyKernels
   259  1358005724  BEG        4201  LowerSemanticCF
   259  1358009926  END        4201  LowerSemanticCF
   259  1358009927  BEG       56495  CheckLifetimes
   259  1358011567  BEG          11  (A) SymbolTableAnalysis
   259  1358011579  END          11  (A) SymbolTableAnalysis
   259  1358066422  END       56495  CheckLifetimes
   259  1471897267  BEG        2016  AnnotateKernels
   259  1471899283  END        2016  AnnotateKernels
   259  1471899284  BEG         406  VerifyKernels
   259  1471899691  END         406  VerifyKernels
   259  1471899691  BEG        3452  LowerSemanticCF
   259  1471903143  END        3452  LowerSemanticCF
   259  1471903145  BEG       42066  CheckLifetimes
   259  1471904591  BEG          11  (A) SymbolTableAnalysis
   259  1471904602  END          11  (A) SymbolTableAnalysis
   259  1471945211  END       42066  CheckLifetimes
   259  1517775201  BEG        2186  AnnotateKernels
   259  1517777388  END        2186  AnnotateKernels
   259  1517777388  BEG         454  VerifyKernels
   259  1517777843  END         454  VerifyKernels
   259  1517777843  BEG        4078  LowerSemanticCF
   259  1517781922  END        4078  LowerSemanticCF
   259  1517781924  BEG       45558  CheckLifetimes
   259  1517783538  BEG          10  (A) SymbolTableAnalysis
   259  1517783548  END          10  (A) SymbolTableAnalysis
   259  1517827483  END       45558  CheckLifetimes
   259  1687171130  BEG        2585  AnnotateKernels
   259  1687173716  END        2585  AnnotateKernels
   259  1687173716  BEG         509  VerifyKernels
   259  1687174225  END         509  VerifyKernels
   259  1687174226  BEG        4245  LowerSemanticCF
   259  1687178471  END        4245  LowerSemanticCF
   259  1687178473  BEG       54911  CheckLifetimes
   259  1687180317  BEG          12  (A) SymbolTableAnalysis
   259  1687180329  END          12  (A) SymbolTableAnalysis
   259  1687233385  END       54911  CheckLifetimes
   259  1701741274  BEG        2110  AnnotateKernels
   259  1701743384  END        2110  AnnotateKernels
   259  1701743385  BEG         424  VerifyKernels
   259  1701743809  END         424  VerifyKernels
   259  1701743809  BEG        3933  LowerSemanticCF
   259  1701747743  END        3933  LowerSemanticCF
   259  1701747745  BEG       45231  CheckLifetimes
   259  1701749257  BEG          11  (A) SymbolTableAnalysis
   259  1701749268  END          11  (A) SymbolTableAnalysis
   259  1701792976  END       45231  CheckLifetimes
   259  1713006444  BEG        2263  AnnotateKernels
   259  1713008707  END        2263  AnnotateKernels
   259  1713008708  BEG         455  VerifyKernels
   259  1713009163  END         455  VerifyKernels
   259  1713009163  BEG        4223  LowerSemanticCF
   259  1713013387  END        4223  LowerSemanticCF
   259  1713013388  BEG       59316  CheckLifetimes
   259  1713015001  BEG          10  (A) SymbolTableAnalysis
   259  1713015012  END          10  (A) SymbolTableAnalysis
   259  1713072705  END       59316  CheckLifetimes
   259  1734181628  BEG        2863  AnnotateKernels
   259  1734184491  END        2863  AnnotateKernels
   259  1734184494  BEG         819  VerifyKernels
   259  1734185313  END         819  VerifyKernels
   259  1734185315  BEG        4565  LowerSemanticCF
   259  1734189881  END        4565  LowerSemanticCF
   259  1734189883  BEG       55216  CheckLifetimes
   259  1734191531  BEG          12  (A) SymbolTableAnalysis
   259  1734191543  END          12  (A) SymbolTableAnalysis
   259  1734245099  END       55216  CheckLifetimes
   259  1987027228  BEG        2591  AnnotateKernels
   259  1987029819  END        2591  AnnotateKernels
   259  1987029820  BEG         651  VerifyKernels
   259  1987030472  END         651  VerifyKernels
   259  1987030473  BEG        6249  LowerSemanticCF
   259  1987036723  END        6249  LowerSemanticCF
   259  1987036726  BEG       57971  CheckLifetimes
   259  1987039188  BEG          13  (A) SymbolTableAnalysis
   259  1987039202  END          13  (A) SymbolTableAnalysis
   259  1987094697  END       57971  CheckLifetimes
   259  1996202040  BEG        2353  AnnotateKernels
   259  1996204393  END        2353  AnnotateKernels
   259  1996204396  BEG         503  VerifyKernels
   259  1996204900  END         503  VerifyKernels
   259  1996204901  BEG        4259  LowerSemanticCF
   259  1996209160  END        4259  LowerSemanticCF
   259  1996209162  BEG       53341  CheckLifetimes
   259  1996210772  BEG          10  (A) SymbolTableAnalysis
   259  1996210783  END          10  (A) SymbolTableAnalysis
   259  1996262504  END       53341  CheckLifetimes
   259  1997546179  BEG        2454  AnnotateKernels
   259  1997548633  END        2454  AnnotateKernels
   259  1997548636  BEG         475  VerifyKernels
   259  1997549112  END         475  VerifyKernels
   259  1997549112  BEG        4707  LowerSemanticCF
   259  1997553819  END        4707  LowerSemanticCF
   259  1997553821  BEG       55071  CheckLifetimes
   259  1997555606  BEG          12  (A) SymbolTableAnalysis
   259  1997555619  END          12  (A) SymbolTableAnalysis
   259  1997608893  END       55071  CheckLifetimes
   259  1998609406  BEG        2820  AnnotateKernels
   259  1998612227  END        2820  AnnotateKernels
   259  1998612227  BEG         486  VerifyKernels
   259  1998612714  END         486  VerifyKernels
   259  1998612714  BEG        5134  LowerSemanticCF
   259  1998617849  END        5134  LowerSemanticCF
   259  1998617851  BEG       61979  CheckLifetimes
   259  1998619561  BEG          12  (A) SymbolTableAnalysis
   259  1998619574  END          12  (A) SymbolTableAnalysis
   259  1998679831  END       61979  CheckLifetimes
   259  2008112848  BEG        2753  AnnotateKernels
   259  2008115602  END        2753  AnnotateKernels
   259  2008115606  BEG         527  VerifyKernels
   259  2008116134  END         527  VerifyKernels
   259  2008116135  BEG        4077  LowerSemanticCF
   259  2008120213  END        4077  LowerSemanticCF
   259  2008120214  BEG       47637  CheckLifetimes
   259  2008122132  BEG          52  (A) SymbolTableAnalysis
   259  2008122184  END          52  (A) SymbolTableAnalysis
   259  2008167851  END       47637  CheckLifetimes
   259  2009021101  BEG        2224  AnnotateKernels
   259  2009023326  END        2224  AnnotateKernels
   259  2009023327  BEG         456  VerifyKernels
   259  2009023784  END         456  VerifyKernels
   259  2009023784  BEG        3778  LowerSemanticCF
   259  2009027563  END        3778  LowerSemanticCF
   259  2009027564  BEG       44924  CheckLifetimes
   259  2009029082  BEG          10  (A) SymbolTableAnalysis
   259  2009029092  END          10  (A) SymbolTableAnalysis
   259  2009072488  END       44924  CheckLifetimes
   259  2049880214  BEG        2540  AnnotateKernels
   259  2049882755  END        2540  AnnotateKernels
   259  2049882756  BEG         610  VerifyKernels
   259  2049883366  END         610  VerifyKernels
   259  2049883369  BEG        4425  LowerSemanticCF
   259  2049887794  END        4425  LowerSemanticCF
   259  2049887796  BEG       57011  CheckLifetimes
   259  2049889488  BEG          11  (A) SymbolTableAnalysis
   259  2049889500  END          11  (A) SymbolTableAnalysis
   259  2049944808  END       57011  CheckLifetimes
   259  2050998656  BEG        2504  AnnotateKernels
   259  2051001161  END        2504  AnnotateKernels
   259  2051001165  BEG         468  VerifyKernels
   259  2051001633  END         468  VerifyKernels
   259  2051001634  BEG        5151  LowerSemanticCF
   259  2051006785  END        5151  LowerSemanticCF
   259  2051006787  BEG       58896  CheckLifetimes
   259  2051008614  BEG          12  (A) SymbolTableAnalysis
   259  2051008626  END          12  (A) SymbolTableAnalysis
   259  2051065684  END       58896  CheckLifetimes
   259  2108959477  BEG        2446  AnnotateKernels
   259  2108961924  END        2446  AnnotateKernels
   259  2108961924  BEG         500  VerifyKernels
   259  2108962424  END         500  VerifyKernels
   259  2108962425  BEG        4586  LowerSemanticCF
   259  2108967011  END        4586  LowerSemanticCF
   259  2108967013  BEG       56527  CheckLifetimes
   259  2108968788  BEG          11  (A) SymbolTableAnalysis
   259  2108968799  END          11  (A) SymbolTableAnalysis
   259  2109023541  END       56527  CheckLifetimes
   259  2117632295  BEG        2637  AnnotateKernels
   259  2117634933  END        2637  AnnotateKernels
   259  2117634934  BEG         553  VerifyKernels
   259  2117635487  END         553  VerifyKernels
   259  2117635487  BEG        4504  LowerSemanticCF
   259  2117639992  END        4504  LowerSemanticCF
   259  2117639994  BEG       64835  CheckLifetimes
   259  2117641938  BEG          12  (A) SymbolTableAnalysis
   259  2117641950  END          12  (A) SymbolTableAnalysis
   259  2117704830  END       64835  CheckLifetimes
   259  2119076383  BEG        2776  AnnotateKernels
   259  2119079159  END        2776  AnnotateKernels
   259  2119079160  BEG         634  VerifyKernels
   259  2119079795  END         634  VerifyKernels
   259  2119079798  BEG        4988  LowerSemanticCF
   259  2119084787  END        4988  LowerSemanticCF
   259  2119084789  BEG       68021  CheckLifetimes
   259  2119086652  BEG          16  (A) SymbolTableAnalysis
   259  2119086669  END          16  (A) SymbolTableAnalysis
   259  2119152811  END       68021  CheckLifetimes
   259  2120732642  BEG        4039  AnnotateKernels
   259  2120736681  END        4039  AnnotateKernels
   259  2120736683  BEG        1049  VerifyKernels
   259  2120737732  END        1049  VerifyKernels
   259  2120737735  BEG        7851  LowerSemanticCF
   259  2120745586  END        7851  LowerSemanticCF
   259  2120745590  BEG       81216  CheckLifetimes
   259  2120748632  BEG          20  (A) SymbolTableAnalysis
